,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,label
2050,2.672035574,-0.143069512,0.094078356,-0.157215475,-0.008707612,0.023964618,0.005666961,0.001519227,-0.059591912,A
2070,2.410513752,-0.346428026,-0.01307514,-0.154386124,-0.05912363,-0.052748721,-0.034170763,-0.054063982,-0.052588032,D
2091,2.79716641,-0.042208702,0.188331165,-0.080192515,0.025369566,0.015356746,0.02658883,0.007785438,-0.012481675,A
2110,-13.71801639,-2.231590076,-1.633313472,0.531135404,0.259618573,1.451260675,0.043058704,0.230414563,-0.81521578,A
2134,-1.833148955,-0.917537816,-0.197542599,0.479827308,0.222370825,0.210753404,-0.204327166,-0.084604601,0.080042157,A
2158,2.095521212,-0.143625945,0.145896305,0.014763848,-0.004054029,0.031473885,-0.077899332,0.009906634,-0.030583482,A
2182,0.837165849,-1.353479142,-0.869152793,0.051382174,0.227729557,-0.121061364,-0.052517209,0.056268464,-0.212084725,A
2205,2.398401439,-0.244358116,0.089267842,-0.026972953,-0.027534095,-0.007492243,-0.025616332,0.015861197,0.067342734,A
2227,2.456305512,-0.036407159,0.206913229,-0.001328345,0.040594105,0.034839146,-0.003813972,0.059042757,0.05183851,A
2251,2.750824109,-0.113760809,0.159405399,-0.098030092,0.005331822,0.018529107,-0.015407689,0.008374339,-0.014299317,A
2269,0.228733636,0.946339811,-0.159982381,-0.215319852,-0.21842958,-0.032939066,-0.007745613,0.283909165,-0.088829002,D
2293,2.762656529,-0.121594888,0.180502002,-0.10789119,-0.039560191,0.001667675,-0.01919429,-0.029422445,-0.095898779,A
2310,2.78661527,-0.034986398,0.204546232,-0.076154369,0.008739298,-0.01428526,-0.002408145,-0.00263878,-0.039178112,A
2330,-2.36855096,1.708249597,-0.456288771,-0.398184337,-0.05048319,-0.444150486,-0.123955262,0.008310488,-0.07653085,D
2354,1.023905396,0.625326728,-0.176424232,-0.155043527,-0.15725028,-0.073151353,0.004787094,0.089469271,0.135431796,D
2378,2.894920942,0.023114745,0.284375681,-0.040270644,0.020545568,0.029371614,-0.009670993,0.037628315,0.025175076,D
2396,1.879055468,-0.156985967,-0.027417913,0.052353338,0.040805028,0.014237057,-0.096833641,0.087713784,0.027914877,D
2420,2.861922624,0.007417137,0.260525216,-0.055405825,0.015950898,0.042844497,0.008285315,0.02663984,0.036268242,D
2438,2.587612112,-0.223989652,0.124255757,-0.076026857,-0.009951756,-0.040085107,-0.015451202,0.031693677,0.017573048,A
2455,1.98106297,-0.649107067,-0.06047434,-0.166474782,-0.215205327,-0.126782539,-0.078245673,-0.209684162,-0.126762129,A
2476,-0.218428201,-2.076335658,-0.954139439,-0.257417971,-0.468299651,-0.457708211,-0.022198465,-0.622287608,-0.896198062,A
2500,2.931663788,0.002197129,0.248281993,-0.087557575,0.004114313,0.006024168,-0.007987282,0.01246881,-0.02897304,A
2512,2.118655866,-0.562138517,-0.130410956,-0.232923851,-0.097758249,-0.01311294,-0.097390426,-0.054795325,0.095253697,A
2532,-12.09343305,2.552252098,-1.217252415,1.081696673,-0.366158294,1.247148237,0.177968607,-0.439598201,0.42221457,D
2556,-0.973275975,-0.275297211,-0.513791985,0.060624979,0.034390807,0.436316326,0.0033643,-0.00257779,0.032432118,D
2580,-6.906155317,0.155566717,-0.917000297,-0.282395878,0.056021996,0.297032205,-0.145886279,-0.119895083,-0.13180706,D
2604,0.529715833,-0.179389268,0.12560272,0.741749579,0.240516369,0.465156884,0.14819976,-0.282078839,-0.048841107,D
2628,2.452445743,-0.148123097,0.165934137,0.0776183,0.057905252,0.093069544,-0.047649933,0.007093749,0.011847985,D
2648,2.190697149,-0.14712938,0.221987743,0.204612968,0.135276359,0.154754469,-0.086021139,0.060753202,-0.065476021,D
2670,1.939194357,-0.327671719,-0.116122951,-0.108371523,0.048039896,0.076479054,-0.01532707,0.011543603,0.051288594,D
2694,1.580564135,0.069846474,-0.060317961,-0.09435151,-0.031822737,0.028217376,-0.143829959,0.05585153,0.088577695,D
2718,2.481528298,-0.004889234,0.190083207,-0.046817466,0.00923871,0.055187917,0.01989094,-0.012816299,-0.012321073,D
2742,-35.18758139,-5.033106051,5.128579628,-2.028085898,-0.487700018,1.890650286,-0.69966776,3.104263916,-0.708474143,D
2766,-8.618278116,-3.186750793,2.453158069,-3.13877315,-0.383033636,1.402289888,-0.317110238,1.095757967,-0.32269311,C
2790,1.868115814,-0.318217383,0.129008811,0.056400466,0.045049999,0.110685823,-0.142361805,-0.019547582,0.164543328,C
2814,1.132068725,-1.059034866,-0.191712864,-0.03476837,-0.257512676,-0.163760259,-0.053098671,-0.247609661,-0.281372895,A
2837,2.91145736,-0.002902155,0.232570543,-0.091533392,0.019170528,0.028067158,-0.015915118,0.041232363,0.002415333,A
2853,2.147147679,-0.451378652,-0.130936448,-0.164368571,-0.048518866,-0.066451834,-0.031818684,-0.026951233,-0.135866501,A
2877,1.740672002,-0.616279673,-0.25339665,-0.051477184,-0.06581022,-0.201597304,0.059811917,-0.085698566,-0.198811632,D
2901,2.26872709,-0.204558259,0.123584237,0.118223507,0.090787064,-0.066254361,0.01934905,0.047007339,0.00187775,D
2924,2.792385131,-0.056491688,0.219603643,-0.053768403,0.023867174,0.020832201,0.011327653,0.020143435,-0.024722712,D
2943,2.871321291,-0.019556731,0.236720679,-0.090952653,-0.019497978,0.007815889,-0.020716064,0.019343893,-0.007961999,A
2960,2.678648729,-0.114944575,0.114473438,-0.116400307,-0.033283529,0.002277516,-0.032870359,0.011406634,-0.015023344,A
2981,2.766061449,-0.110388429,0.196819772,-0.126884842,-0.021822216,-0.004393191,-0.032451181,-0.011124662,-0.001205745,D
2996,2.817711639,-0.079453465,0.181520887,-0.090169259,0.010093988,0.008591873,-0.016690501,0.02661541,0.002682256,A
3010,2.117502939,-0.37724294,-0.107779938,-0.041514372,0.005803002,5.21E-05,-0.055466946,0.000936451,-0.00373348,A
3032,2.888231931,0.007639031,0.215642549,-0.086387737,0.008512809,0.015399466,0.000335296,0.035278649,0.006320536,A
3049,2.825675851,-0.03786815,0.253605834,-0.058592141,0.02406717,0.028927937,-0.040195371,0.038607496,0.023559003,A
3067,0.253020398,0.107043526,-0.64782996,0.075732454,0.006235799,-0.12502323,0.085520236,-0.014128466,-0.040246122,D
3091,-1.67280699,-0.59285909,-1.184539925,0.271830427,-0.125874808,-0.006424564,-0.182461352,0.135458421,0.146175244,D
3115,-3.832447121,-0.173146374,-0.886865131,0.70041747,-0.224580806,0.720307177,-0.316640155,0.097745241,-0.30526812,D
3139,2.018228029,-0.379634301,-0.130387807,0.106668182,0.114535257,0.087163382,-0.07036106,0.010039967,-0.06921486,D
3161,2.095939554,-0.374980498,0.030414425,0.145420682,0.072286951,0.047104198,-0.063757154,-0.029769913,-0.023620217,D
3182,1.816488869,-0.416652834,-0.103740344,-0.110382134,-0.030789509,0.034935447,-0.141036423,0.021821886,0.065407668,D
3206,1.115401945,-0.060608254,-0.245156835,0.015754435,0.065722137,0.062752094,-0.038307276,0.068899868,0.137391153,D
3230,-4.071376497,-0.992194606,0.518068924,-0.300499042,-0.572645798,0.804653762,-0.378356142,0.119276743,0.062101291,D
3254,0.095722526,-0.014428801,-0.301895236,0.117305999,0.178770168,0.239233685,0.081505646,-0.092597458,0.131967035,D
3278,2.61346537,-0.119641561,0.129023428,-0.003962934,0.066379042,0.03932887,0.021198322,0.064726137,0.034842868,D
3299,2.346532181,-0.164736138,0.273645432,-0.10575613,0.033729099,0.02568195,-0.091723886,0.057167721,0.014905168,D
3321,2.387748215,-0.043519827,0.166621095,0.041768625,0.037320545,0.142546231,-0.08086102,-0.005501062,0.080614585,D
3345,-0.257541531,-1.812639851,-0.7194309,-0.028980749,0.054935268,-0.014969237,-0.238484187,0.068652098,0.264383029,D
3368,0.411821398,-1.234463994,-0.482384467,-0.026915234,-0.055513986,-0.12885517,-0.097807723,-0.053155876,0.123062186,D
3392,0.05299698,-1.383108535,-0.665570974,0.090247261,0.0528364,0.068181147,-0.018948741,0.061423584,0.308806432,D
3416,0.033283488,-1.639548293,-0.511755902,0.216293305,0.072437018,0.009888382,-0.222229651,0.060053812,0.243801972,D
3438,1.757378095,-0.720453949,-0.285593628,-0.059584338,0.065522649,-0.115347939,0.034284754,-0.029424793,-0.251712649,A
3461,2.866883864,-0.025568167,0.224428557,-0.066897884,0.032261209,0.017443997,-0.000343855,0.049951475,-0.016032407,A
3478,2.841553581,-0.023488597,0.236506451,-0.06752938,0.01955535,-0.014683723,-0.021638172,0.030212982,0.02659024,D
3496,2.926898926,0.001249188,0.254149844,-0.071260738,0.018874202,0.000820606,0.004458861,0.041913385,0.011889418,D
3508,2.369356082,-0.152584577,0.115920598,-0.054164697,0.028161243,-0.052029577,-0.021309853,0.008568473,-0.061189096,A
3532,2.517082888,0.099265401,0.266671174,-0.009751871,-0.03604551,0.033266786,-0.042553388,0.087893113,0.037940863,A
3556,2.612369026,0.02806646,0.268531116,-0.022328284,-0.005870626,0.066299867,0.02739557,-0.013190086,0.001126095,A
3579,2.26584467,-0.249675406,0.04811365,-0.150180585,0.117514489,0.02566962,-0.046248722,-0.045804237,-0.035579871,D
3601,-4.023687289,-1.098689606,-0.044965861,0.000349853,0.161770411,0.510193926,-0.518053894,0.013397064,-0.159407303,D
3625,-0.215088384,-0.098861743,0.308962765,0.518494626,0.169744317,0.67948578,-0.335015172,-0.126701199,-0.118336582,D
3649,2.954960324,0.021131109,0.269146001,-0.086474888,0.005143003,0.01398611,-0.008650974,0.037671229,0.027289784,A
3660,1.413386345,-0.310985918,-0.183106633,-0.040577422,0.037207688,0.000102905,-0.165610853,-0.036462456,0.071595801,A
3684,2.882352886,0.016579953,0.248829859,-0.071360806,0.021002166,0.012791174,-0.011675615,0.019599049,0.00690531,A
3703,-13.31580332,-1.741054557,-2.68176083,2.384776794,0.294103603,0.788666445,-0.269484676,-0.355042581,0.021329503,D
3727,-0.27183816,0.10013705,-0.439435932,0.186796789,0.034296571,0.009034141,0.076045354,0.019353008,-0.031096362,D
3751,-3.509101216,-0.985874861,-1.352514128,0.211195414,0.049984784,-0.299943071,-0.240271935,0.194763908,0.028317678,D
3775,2.772071541,-0.118089668,0.113544825,-0.077241189,0.0609916,0.007296386,0.010988732,0.086102627,0.047461744,A
3788,1.610751966,-0.709637094,-0.211047116,0.042208246,0.060665441,0.003322436,-0.095504855,0.058530449,0.130754786,D
3810,2.280852181,-0.281656796,0.060754737,-0.045417504,0.018071336,0.082575259,-0.023279281,-0.002159282,0.09515133,D
3832,2.843133002,-0.023250257,0.238322731,-0.021965471,0.045209916,0.017562439,-0.017837565,0.035987076,-0.019987406,A
3848,1.982246694,-0.292818196,-0.024643074,0.119996563,0.134268567,-0.02879698,-0.043524725,0.098837217,0.077003435,D
3872,2.721205759,-0.055549921,0.211453357,-0.042881646,0.020214359,0.051965796,-0.027631603,-0.001952722,0.016642385,D
3892,2.729057248,-0.030697548,0.201385052,-0.0915167,0.019228043,0.020585713,-0.008359965,0.030079107,0.034629838,D
3913,2.899085423,0.017845208,0.270370678,-0.059611634,0.001931212,0.041702627,-0.029202034,0.014805926,-0.018028531,D
3929,2.934568742,0.018436542,0.257971169,-0.084491189,0.013781046,0.034114512,-0.017063317,0.046280451,0.013660277,D
3942,-4.657659591,-3.459404979,-2.934833143,0.127631484,0.254922192,-0.088351868,-0.337200499,-0.124593099,-0.042227795,D
3966,2.40205224,-0.377283082,-0.074236213,-0.130958812,0.01516398,-0.00336905,-0.014178237,-0.021521523,-0.13696579,D
3984,2.010643202,-0.466190261,-0.105967587,-0.078180997,0.013458052,-0.023547759,-0.025925928,-0.050973495,-0.036782414,D
4008,2.343463572,-0.364622433,-0.073985523,-0.02362181,0.11551337,-0.023660651,-0.026163442,0.064972307,-0.019605294,D
4027,2.857556913,-0.054511789,0.175081938,-0.1000912,0.0217121,0.0138267,-0.009208873,0.031633193,-0.033060914,D
4040,2.864552222,-0.017251211,0.172718238,-0.112129326,-0.008346916,0.003663108,-0.034770726,0.019385347,-0.042253376,D
4054,2.050436357,-0.604897726,-0.104262767,-0.061020074,-0.022880691,-0.131180714,-0.004090424,-0.113656343,-0.247714221,D
4073,2.572281421,-0.257911134,0.054222577,-0.119424391,-0.007894046,-0.01020032,0.003436988,0.0060046,-0.020850252,D
4091,2.816777649,-0.044168544,0.251863516,-0.033159677,0.023463369,0.007155881,-0.005499674,0.020792724,-0.020985205,D
4107,-0.4739452,-2.39936374,-1.073126988,-0.231413231,-0.521713997,-0.482843981,-0.037716264,-0.785548456,-1.253610698,A
4129,0.026053753,-1.933989464,-0.982321258,-0.103482199,-0.127518794,-0.398069792,0.082293641,-0.270850847,-0.720235973,A
4153,1.511750885,-1.069967216,-0.45054384,-0.229931655,-0.233182048,-0.1834254,-0.057708789,-0.309236503,-0.395553457,A
4172,0.90477938,-1.479394662,-0.766682599,-0.317557295,-0.273918608,-0.239337012,-0.056711668,-0.393037214,-0.660422595,D
4194,2.354870103,-0.418262739,-0.124611477,-0.118648257,0.013916417,-0.004762464,-0.03920653,0.005116456,-0.01779561,D
4211,2.64765217,0.163419525,0.188704532,-0.048554531,-0.049007226,0.042717823,0.013530682,0.053555581,-0.029784072,D
4234,-0.285306198,-0.270982302,-0.355203605,0.335662281,0.032366953,0.066969941,0.119184854,0.08472822,-0.00406352,D
4258,-1.92385758,-0.471552717,-1.070802017,0.467766346,-0.043155489,0.352484222,0.068106729,-0.132031303,0.165819968,D
4282,-5.017977831,-1.672240366,-1.222266957,-0.040069738,-0.083181321,0.197430065,-0.103631021,0.205557066,-0.058018882,D
4306,2.163728,-0.056736942,0.069917528,0.126679909,0.112147645,-0.070986289,0.114332656,0.095243404,0.036520734,D
4330,-8.966370056,-4.692297386,-1.635773606,0.526788659,-0.19730867,0.255048249,-0.839112242,0.198591966,1.430894648,D
4354,-10.1193316,-4.445884708,-1.437454181,0.675186552,0.009282471,0.389272119,-0.849613924,0.261819943,0.783784765,D
4378,-5.860061289,-3.492248168,-2.05093085,0.537547878,0.128111994,-0.053717382,-0.65243607,0.043568086,1.169430801,D
4402,-0.888829728,-2.067357648,-0.856919849,0.233495214,-0.038926325,-0.142442556,-0.405685568,-0.025437002,0.836651414,D
4426,-1.194518599,-2.084188213,-0.903041418,0.115147395,0.079984141,-0.160789113,-0.332372154,0.020148526,0.574639636,D
4450,1.360658114,-0.700459103,-0.461554806,-0.07170751,0.064765086,-0.076700278,-0.128099522,0.079876072,0.250496098,D
4474,-1.390389043,-1.443351558,-0.863847854,0.285529453,0.046488461,0.10327646,-0.178786629,-0.032702189,0.319342519,D
4498,-12.77215502,-4.850954114,-2.351880534,0.769122304,-0.16429432,0.717796627,-0.779095078,0.269558031,1.086232732,D
4522,0.417550663,-0.634397259,-0.608940837,-0.134759088,-0.000794263,0.071652174,-0.003078598,-0.050284989,0.108367846,D
4546,0.681530162,-1.237000367,-0.676272968,-0.113690195,-0.057958421,0.048015187,-0.170944641,-0.129275529,0.014680742,D
4569,0.069950338,-0.702788183,-0.820628469,0.207484978,0.293758638,-0.212389967,-0.164827108,0.059154585,-0.102041004,D
4593,2.817461518,-0.046467084,0.237388,-0.070305177,0.030502576,-0.003009324,0.004537968,0.020017485,0.005167673,D
