,LD1,LD2,LD3,Label
3392,0.373953898,0.438254724,-0.097115624,D
3416,0.094834646,0.163793264,0.409471071,D
3438,-0.168403241,-1.045203325,-0.188223765,A
3461,0.043704666,-0.119419452,-0.217787997,A
3478,-0.026358712,0.060458224,0.003151623,D
3496,0.021578159,-0.086730991,0.023062659,D
3508,-0.036136225,-0.330587017,0.089207074,A
3532,0.068275346,0.157790636,-0.094471831,A
3556,0.011861541,0.066079385,0.046886323,A
3579,0.264412875,-0.258236837,-0.029811152,D
3601,0.734989952,1.044916696,2.37400407,D
3625,0.363262966,0.666386919,-0.177325691,D
3649,-0.037658063,0.074230443,-0.006904337,A
3660,0.066383349,0.12617596,0.208796555,A
3684,0.018399459,-0.000694466,-0.059519676,A
3703,1.028677154,-0.587098677,5.474053064,D
3727,0.422128933,-0.459561309,0.075824501,D
3751,0.613371249,-0.289580332,-0.72467033,D
3775,0.063552565,-0.203329912,0.159543093,A
3788,0.205007104,-0.251187723,0.126142795,D
3810,0.358175347,-0.132318435,-0.334652331,D
3832,0.092271781,-0.106780833,-0.042319303,A
3848,0.331035313,-0.216342683,-0.297229421,D
3872,0.105610908,0.143009166,-0.311334727,D
3892,0.079924234,0.016991523,-0.134708363,D
3913,0.038908674,0.104245964,-0.163117465,D
3929,0.027974521,0.002413452,-0.061043826,D
3942,0.804369462,-2.303383281,-0.820713156,D
3966,0.078391395,-0.500628259,0.161939864,D
3984,-0.005101334,-0.327665542,0.030983448,D
4008,0.034903774,-0.261803907,-0.093844699,D
4027,-0.005057283,-0.034629268,0.032004289,D
4040,-0.00303771,-0.064482382,-0.048660513,D
4054,-0.218432399,-0.625375949,-0.25708611,D
4073,0.010732956,-0.016279993,-0.203860766,D
4091,-0.008110746,-0.165683577,0.221925125,D
4107,-1.848638738,-3.930621008,0.791163663,A
4129,-0.491085524,-1.905127581,-1.439144424,A
4153,-0.868959193,-1.287194726,-0.072370953,A
4172,-0.876297676,-2.719835426,0.096012961,D
4194,-0.027234603,-0.092985098,-0.172927404,D
4211,0.138521602,-0.003509593,0.254898582,D
4234,0.448946214,-0.282292258,0.244860316,D
4258,0.65600235,1.304990971,-1.206216864,D
4282,0.984168788,0.547499014,0.747774607,D
4306,0.078910563,-0.128205685,0.280711952,D
4330,-0.232874089,2.033325481,2.54776127,D
4354,0.361184178,1.682171722,0.24503995,D
4378,0.039797778,1.15739669,1.013586187,D
4402,-0.428734178,1.618754618,-0.000520519,D
4426,-0.255187461,0.410045484,0.847766665,D
4450,0.162846983,0.044228969,-0.486822535,D
4474,0.358244254,0.8479798,0.981093737,D
4498,1.605678394,2.414986924,1.914082501,D
4522,0.297116013,0.581740751,-0.448052808,D
4546,0.237109205,-0.09501407,-1.131647859,D
4569,0.286508505,-0.705694012,-0.519528487,D
4593,0.006915047,0.041077108,-0.086667671,D
4612,0.198316335,-0.086720031,-0.391722693,D
4634,-0.107632248,-0.012872277,-0.519648048,D
4658,-0.120028625,1.221943942,1.556478581,D
4682,0.025574707,0.609296134,0.127622564,D
4705,-0.008021437,0.017273017,-0.211663214,D
4726,0.073368183,0.3020766,-0.063516187,D
4750,1.289734561,0.777693691,-0.35300109,D
4774,1.351031431,2.308879761,2.462309529,D
4798,0.045483283,-0.286146207,0.247370048,D
4818,-0.11837346,-0.204098225,-0.247566698,D
4842,1.42664628,1.818536484,-0.52085281,D
4866,0.887694512,0.796577572,-0.092366659,D
4890,5.728630964,7.348360515,10.54368842,D
4914,0.042322547,0.018017612,-0.097029165,A
4937,0.322986559,-1.618410315,0.05924764,A
4960,-0.033275995,-0.466584759,0.125908939,A
4984,-0.026278149,-0.008411143,-0.352256145,A
5005,0.013613753,0.037234077,-0.087812418,A
5013,0.00394297,-0.19407495,-0.435020736,A
5036,-0.031172713,-0.160137044,0.128591187,A
5055,0.007278719,-0.060697636,0.146624438,A
5079,0.009813069,-2.597507518,1.460914801,A
5103,0.101906596,-0.57890803,0.472396703,A
5118,0.40639846,-1.838562599,0.475111991,A
5142,0.837885314,-0.544030136,0.335060924,A
5166,0.123590214,0.069900167,-0.15436333,A
5182,-0.17588542,-1.133576885,-0.605700546,A
5204,0.057402683,-0.060316283,-0.242531337,A
5217,0.094412616,-0.212951198,0.131494453,A
5238,0.502027938,-0.22179709,0.252647576,A
5262,0.104101661,-0.15539707,-0.046898934,A
5283,0.023978324,-0.117032086,0.187224403,A
5306,-0.037438694,0.216176208,-0.406563355,A
5325,-0.889153309,-1.020834292,0.222865577,A
5349,-0.11916233,-0.072161246,-0.056979533,A
5365,-0.091516834,-0.412675979,-0.140671552,A
5382,0.21777817,-0.795934358,-0.314753081,D
5403,-0.035685586,-0.314419255,0.018504776,A
5419,0.054905162,-0.236673324,-0.360159243,A
5438,0.121875143,-0.283075543,0.077968027,A
5461,0.106895947,0.038591455,-0.282073965,C
5481,0.019713737,0.085095335,-0.00652667,C
5497,-0.324686144,-0.412748902,-0.503294263,C
5516,0.028418649,-0.120730359,0.40513201,C
5539,-0.107224709,-0.302589698,1.123238495,C
5563,-0.279692704,0.066739829,-0.315394816,C
5587,-0.063466779,-0.359593239,0.208475112,C
5606,-0.025193392,0.093478929,-0.203136545,A
5626,-0.097854,0.087287108,-0.054722076,C
5647,-0.397230509,0.04530848,0.545168113,C
5667,-5.655218559,3.772321556,-4.615839052,C
5686,-1.127381364,-0.002054492,-0.21110422,C
5705,-0.182707086,-0.113253066,-0.171297866,C
5723,-2.746215015,1.29749322,-1.696217719,C
5743,-3.308212863,0.01621361,1.244736269,C
5762,-1.118036211,-0.369390259,2.614735661,C
5783,-0.983894046,-0.03262172,-0.362710564,C
5805,-0.12891543,0.126620535,-0.083544735,C
5826,-1.814819121,-0.039388487,0.032496526,C
5848,-1.657221432,0.209565512,-0.824290399,C
5868,-0.244382131,0.171916966,-0.166073842,C
5885,-4.40715251,0.610258188,1.33107068,C
5906,0.002256204,-0.040794357,0.106646461,C
5925,-0.662631258,0.044420182,0.6076551,C
5943,-0.654317534,0.170513606,-0.138946347,C
5961,-0.44549613,-0.284623639,0.155680043,C
5983,-0.853653763,0.424448668,-0.313351262,C
6001,-2.60756209,1.098023308,3.255618365,C
6022,-0.064983612,0.134150154,0.031670178,C
6037,-0.298523766,0.013087707,0.102269057,A
6059,0.029972484,-0.417676129,0.143596751,A
6080,0.15532104,-0.151197123,-0.025757249,A
6104,-0.01690319,-0.115109991,0.108178235,A
6123,-1.372931104,-2.52692881,-0.016720897,A
6145,-1.806706932,-2.719419951,0.076707382,A
6169,-0.089771885,-0.090341509,0.195521542,A
6188,-0.300926794,-1.191696225,0.51665987,A
6206,-0.107212214,0.05061751,0.00735401,A
6223,-0.396325814,-1.235379261,-0.099029055,A
6244,-0.053513165,0.025478457,-0.019733783,A
6258,0.204745,-0.828855045,-0.358130968,D
6281,0.245721285,-0.722677663,0.079216905,D
6305,0.089552391,-0.254890957,-0.117367729,D
6320,0.312269657,-0.694455676,-1.370944525,D
6344,0.155676018,-0.127133117,-0.351329763,D
6359,0.418643141,-0.385201688,-0.641820278,A
6383,-0.017160589,0.011891886,-0.014433716,A
6384,-0.297827771,0.278409745,0.750724607,D
6408,-0.039056137,-0.469424533,-0.641371211,A
6426,-0.228352607,-0.998866991,0.364005661,D
6449,-0.067149914,0.319909644,0.397334217,A
6473,0.103596487,-1.802146522,0.541375123,A
6495,0.110195116,-1.103695076,0.200252682,A
6519,0.004427899,-0.118053416,0.109788094,A
6533,0.040276631,-0.388105881,-0.109260984,A
6553,-0.107813212,0.148166954,0.059226379,A
6575,-0.076376783,0.073717744,-0.232646666,A
6591,-0.197124461,-0.401972257,0.17584878,A
6609,-0.085311125,0.085439465,1.243331159,D
6633,0.272175922,0.241125637,-0.961724436,D
